"","Genus","Species"
"Otu00023","Psychrobacter","alimentarius/aquimaris/faecalis/glacincola/muriicola/namhaensis/nivimaris/pacificensis/piscatorii/piscidermidis"
"Otu00024","Oceanobacter","kriegii"
"Otu00025",NA,NA
"Otu00026",NA,NA
"Otu00027",NA,NA
"Otu00028",NA,NA
"Otu00029",NA,NA
"Otu00030",NA,NA
"Otu00032",NA,NA
"Otu00033",NA,NA
"Otu00034",NA,NA
"Otu00035",NA,NA
"Otu00036",NA,NA
"Otu00037",NA,NA
"Otu00038",NA,NA
"Otu00039",NA,NA
"Otu00040","Shimia","isoporae/marina"
"Otu00041",NA,NA
"Otu00042",NA,NA
"Otu00043",NA,NA
"Otu00044","Halomonas","alkaliantarctica/alkaliphila/andesensis/aquamarina/axialensis/campaniensis/hydrothermalis/lutescens/meridiana/taeheungii/venusta/zhanjiangensis/zhaodongensis"
"Otu00045",NA,NA
"Otu00046",NA,NA
"Otu00047",NA,NA
"Otu00049","Mesoflavibacter","sabulilitoris/zeaxanthinifaciens"
"Otu00050","Marinomonas","communis/ostreistagni"
"Otu00051",NA,NA
"Otu00052",NA,NA
"Otu00053","Neptunomonas","acidivorans/concharum"
"Otu00054","Leeuwenhoekiella","blandensis/palythoae"
"Otu00055",NA,NA
"Otu00056","Tenacibaculum","amylolyticum/jejuense"
"Otu00058",NA,NA
"Otu00059",NA,NA
"Otu00060",NA,NA
"Otu00061",NA,NA
"Otu00062",NA,NA
"Otu00063","Nonlabens","sediminis/tegetincola"
"Otu00064","Pelomonas","aquatica/puraquae/saccharophila"
"Otu00065",NA,NA
"Otu00066","Aureicoccus","marinus"
"Otu00067","Sulfitobacter","pontiacus"
"Otu00068",NA,NA
"Otu00069",NA,NA
"Otu00070",NA,NA
"Otu00071",NA,NA
"Otu00072","Thalassotalea","ganghwensis"
"Otu00073","Ruegeria","conchae"
"Otu00074",NA,NA
"Otu00075",NA,NA
"Otu00076",NA,NA
"Otu00077","Psychrobacter","marincola"
"Otu00078",NA,NA
"Otu00079",NA,NA
"Otu00080",NA,NA
"Otu00081",NA,NA
"Otu00082",NA,NA
"Otu00083","Lentilitoribacter","donghaensis"
"Otu00084",NA,NA
"Otu00085",NA,"aequororis/chungkukjangi/horikoshii/massiliensis/sinduriensis/xylanilyticus"
"Otu00086",NA,NA
"Otu00087",NA,NA
"Otu00088",NA,NA
"Otu00089",NA,NA
"Otu00090",NA,NA
"Otu00091",NA,NA
"Otu00092",NA,NA
"Otu00093",NA,NA
"Otu00094",NA,NA
"Otu00095",NA,NA
"Otu00096",NA,NA
"Otu00097",NA,NA
"Otu00098",NA,NA
"Otu00099",NA,NA
"Otu00100",NA,NA
"Otu00101",NA,NA
"Otu00102",NA,NA
"Otu00103",NA,NA
"Otu00104","Vibrio","anguillarum/artabrorum/atlanticus/celticus/chagasii/crassostreae/cyclitrophicus/gallaecicus/gigantis/harveyi/kanaloae/lentus/pomeroyi/splendidus/tasmaniensis/toranzoniae"
"Otu00105",NA,NA
"Otu00106",NA,NA
"Otu00107",NA,NA
"Otu00108",NA,NA
"Otu00109",NA,NA
"Otu00110",NA,NA
"Otu00111",NA,NA
"Otu00112",NA,NA
"Otu00113",NA,NA
"Otu00114",NA,NA
"Otu00115","Psychrobacter","cibarius/fozii/glacincola/immobilis/namhaensis"
"Otu00116",NA,NA
"Otu00117",NA,NA
"Otu00118",NA,NA
"Otu00119",NA,NA
"Otu00120",NA,NA
"Otu00121",NA,NA
"Otu00122",NA,NA
"Otu00123",NA,NA
"Otu00124",NA,NA
"Otu00125",NA,NA
"Otu00126","Pyruvatibacter","mobilis"
"Otu00127",NA,NA
"Otu00128",NA,NA
"Otu00129",NA,NA
"Otu00130",NA,NA
"Otu00131",NA,NA
"Otu00132","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu00133",NA,NA
"Otu00134","Algicola","bacteriolytica"
"Otu00136",NA,NA
"Otu00137",NA,NA
"Otu00138",NA,NA
"Otu00139","Halodesulfovibrio","marinisediminis/spirochaetisodalis"
"Otu00141",NA,NA
"Otu00143",NA,NA
"Otu00144",NA,NA
"Otu00145",NA,NA
"Otu00146",NA,NA
"Otu00147","Enterovibrio","nigricans"
"Otu00148",NA,NA
"Otu00149","Gilvibacter","sediminis"
"Otu00150","Pseudomonas","pachastrellae"
"Otu00151",NA,NA
"Otu00152",NA,NA
"Otu00153",NA,NA
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00156",NA,NA
"Otu00157",NA,NA
"Otu00158",NA,NA
"Otu00159",NA,NA
"Otu00160",NA,NA
"Otu00161",NA,NA
"Otu00162",NA,NA
"Otu00163",NA,NA
"Otu00164",NA,NA
"Otu00165","Idiomarina","baltica/fontislapidosi"
"Otu00166",NA,NA
"Otu00167","Propionigenium","maris"
"Otu00168",NA,NA
"Otu00169",NA,NA
"Otu00170",NA,NA
"Otu00171",NA,NA
"Otu00172","Tenacibaculum","geojense"
"Otu00173","Fabibacter","misakiensis"
"Otu00174",NA,NA
"Otu00175",NA,NA
"Otu00176",NA,NA
"Otu00177","Exiguobacterium","acetylicum/aestuarii/alkaliphilum/aquaticum/arabatum/aurantiacum/chiriqhucha/himgiriensis/homiense/marinum/mexicanum/panipatensis/pavilionensis/profundum"
"Otu00179",NA,NA
"Otu00180",NA,NA
"Otu00181",NA,NA
"Otu00182",NA,NA
"Otu00183",NA,NA
"Otu00184",NA,NA
"Otu00185",NA,NA
"Otu00186",NA,NA
"Otu00187",NA,NA
"Otu00188",NA,NA
"Otu00189",NA,NA
"Otu00190","Celeribacter","manganoxidans"
"Otu00191",NA,NA
"Otu00192","Sulfitobacter","geojensis/noctilucicola/pacificus/porphyrae"
"Otu00193",NA,NA
"Otu00194",NA,NA
"Otu00195",NA,NA
"Otu00196","Henriciella","marina"
"Otu00197",NA,NA
"Otu00198",NA,NA
"Otu00199",NA,NA
"Otu00200","Pseudomonas","aeruginosa/alcaligenes/resinovorans"
"Otu00201",NA,NA
"Otu00202",NA,NA
"Otu00203","Fangia","hongkongensis"
"Otu00204","Aliiglaciecola","lipolytica/litoralis"
"Otu00205",NA,NA
"Otu00206","Sphingomonas","alpina/echinoides/mali/oligophenolica/panacis/rhizogenes/sanxanigenens"
"Otu00207",NA,NA
"Otu00209",NA,NA
"Otu00210",NA,NA
"Otu00211",NA,NA
"Otu00212",NA,NA
"Otu00213",NA,NA
"Otu00214",NA,NA
"Otu00215",NA,NA
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00219",NA,NA
"Otu00220","Caulobacter","crescentus/vibrioides"
"Otu00221","Idiomarina","aquimaris/homiensis/marina/maritima/tainanensis"
"Otu00222",NA,NA
"Otu00223",NA,NA
"Otu00224",NA,NA
"Otu00225",NA,NA
"Otu00226","Methylobacterium","brachiatum/fujisawaense/gregans/hispanicum/longum/mesophilicum/oryzae/phyllosphaerae/phyllostachyos/radiotolerans/tardum"
"Otu00227","Oceanicaulis","stylophorae"
"Otu00228",NA,NA
"Otu00230",NA,NA
"Otu00231",NA,NA
"Otu00232",NA,NA
"Otu00234",NA,NA
"Otu00235","Litoribrevibacter","albus"
"Otu00236",NA,NA
"Otu00237",NA,NA
"Otu00238",NA,NA
"Otu00239",NA,NA
"Otu00240",NA,NA
"Otu00241",NA,NA
"Otu00243",NA,NA
"Otu00244",NA,NA
"Otu00245",NA,NA
"Otu00246","Aquimarina","litoralis"
"Otu00247",NA,NA
"Otu00248",NA,NA
"Otu00249","Shewanella","surugensis"
"Otu00250","Rheinheimera","japonica/muenzenbergensis/nanhaiensis"
"Otu00251",NA,NA
"Otu00252",NA,NA
"Otu00254",NA,NA
"Otu00255",NA,NA
"Otu00256",NA,NA
"Otu00257",NA,NA
"Otu00258",NA,NA
"Otu00259",NA,NA
"Otu00260",NA,NA
"Otu00261",NA,NA
"Otu00262",NA,NA
"Otu00263","Flammeovirga","pacifica/yaeyamensis"
"Otu00264",NA,NA
"Otu00265",NA,NA
"Otu00266",NA,NA
"Otu00267",NA,NA
"Otu00268","Udaeobacter","copiosus"
"Otu00269","Corallomonas","stylophorae"
"Otu00270",NA,NA
"Otu00271",NA,NA
"Otu00272",NA,NA
"Otu00273",NA,NA
"Otu00274",NA,NA
"Otu00275",NA,NA
"Otu00276",NA,NA
"Otu00277","Acanthopleuribacter","pedis"
"Otu00278",NA,NA
"Otu00279",NA,NA
"Otu00280",NA,NA
"Otu00281",NA,NA
"Otu00282",NA,NA
"Otu00283","Photobacterium","aquae/gaetbulicola/panuliri/phosphoreum/rosenbergii/sanctipauli"
"Otu00284",NA,NA
"Otu00285",NA,NA
"Otu00286",NA,NA
"Otu00288",NA,NA
"Otu00289",NA,NA
"Otu00290",NA,NA
"Otu00291",NA,NA
"Otu00292",NA,NA
"Otu00293",NA,NA
"Otu00294",NA,NA
"Otu00295",NA,NA
"Otu00296",NA,NA
"Otu00297",NA,NA
"Otu00298",NA,NA
"Otu00299",NA,NA
"Otu00300",NA,NA
"Otu00301",NA,NA
"Otu00302",NA,NA
"Otu00303",NA,NA
"Otu00304",NA,NA
"Otu00305",NA,NA
"Otu00306",NA,NA
"Otu00307",NA,NA
"Otu00308",NA,NA
"Otu00309",NA,NA
"Otu00310","Maritalea","porphyrae"
"Otu00311",NA,NA
"Otu00312",NA,NA
"Otu00313",NA,NA
"Otu00314",NA,NA
"Otu00315",NA,NA
"Otu00316",NA,NA
"Otu00317",NA,NA
"Otu00318",NA,NA
"Otu00319",NA,NA
"Otu00320","Sphingobium","abikonense/lactosutens/olei/soli/yanoikuyae"
"Otu00321",NA,NA
"Otu00322",NA,NA
"Otu00323",NA,NA
"Otu00325",NA,NA
"Otu00326",NA,NA
"Otu00327",NA,NA
"Otu00328",NA,NA
"Otu00329",NA,NA
"Otu00330","Cohaesibacter","gelatinilyticus"
"Otu00331",NA,NA
"Otu00332",NA,NA
"Otu00333",NA,NA
"Otu00334",NA,NA
"Otu00335",NA,NA
"Otu00336",NA,NA
"Otu00337",NA,NA
"Otu00339",NA,NA
"Otu00340",NA,NA
"Otu00341",NA,NA
"Otu00342",NA,NA
"Otu00343",NA,NA
"Otu00344",NA,NA
"Otu00345",NA,NA
"Otu00346",NA,NA
"Otu00347",NA,NA
"Otu00348",NA,NA
"Otu00349",NA,NA
"Otu00350",NA,NA
"Otu00351",NA,NA
"Otu00352",NA,NA
"Otu00353",NA,NA
"Otu00354",NA,NA
"Otu00355",NA,NA
"Otu00356",NA,NA
"Otu00357",NA,NA
"Otu00358",NA,NA
"Otu00359",NA,NA
"Otu00360",NA,NA
"Otu00361",NA,NA
"Otu00362",NA,NA
"Otu00363",NA,NA
"Otu00364","Marinobacter","adhaerens/flavimaris/nanhaiticus/similis"
"Otu00365",NA,NA
"Otu00366",NA,NA
"Otu00367",NA,NA
"Otu00368",NA,NA
"Otu00369",NA,NA
"Otu00370",NA,NA
"Otu00371",NA,NA
"Otu00372",NA,NA
"Otu00373",NA,NA
"Otu00374",NA,NA
"Otu00375",NA,NA
"Otu00376",NA,NA
"Otu00378",NA,NA
"Otu00379",NA,NA
"Otu00380",NA,NA
"Otu00381",NA,NA
"Otu00382","Lactobacillus","curvatus/graminis/sakei"
"Otu00383",NA,NA
"Otu00384",NA,NA
"Otu00385",NA,NA
"Otu00386","Alcanivorax","gelatiniphagus/marinus/venustensis"
"Otu00387",NA,NA
"Otu00388",NA,NA
"Otu00389",NA,NA
"Otu00390",NA,NA
"Otu00391",NA,NA
"Otu00392",NA,NA
"Otu00393",NA,NA
"Otu00395",NA,NA
"Otu00396",NA,NA
"Otu00397",NA,NA
"Otu00398",NA,NA
"Otu00399",NA,NA
"Otu00401",NA,NA
"Otu00402",NA,NA
"Otu00403",NA,NA
"Otu00404",NA,NA
"Otu00405",NA,NA
"Otu00406","Paracoccus","homiensis/kamogawaensis/seriniphilus/zeaxanthinifaciens"
"Otu00407","Flavisolibacter","ginsengiterrae"
"Otu00408",NA,NA
"Otu00409","Sphingomonas","parvus"
"Otu00410",NA,NA
"Otu00411",NA,NA
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00416",NA,NA
"Otu00417",NA,NA
"Otu00418",NA,NA
"Otu00419",NA,NA
"Otu00420",NA,NA
"Otu00421",NA,NA
"Otu00422",NA,NA
"Otu00423",NA,NA
"Otu00424",NA,NA
"Otu00425",NA,NA
"Otu00426",NA,NA
"Otu00427",NA,NA
"Otu00428",NA,NA
"Otu00429",NA,NA
"Otu00430",NA,NA
"Otu00431",NA,NA
"Otu00432",NA,NA
"Otu00433",NA,NA
"Otu00434",NA,NA
"Otu00435",NA,NA
"Otu00436",NA,NA
"Otu00438",NA,NA
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00441",NA,NA
"Otu00442",NA,NA
"Otu00443","Thalassospira","australica/povalilytica/profundimaris/tepidiphila/xianhensis"
"Otu00444",NA,NA
"Otu00445",NA,NA
"Otu00446",NA,NA
"Otu00447",NA,NA
"Otu00448",NA,NA
"Otu00449",NA,NA
"Otu00450",NA,NA
"Otu00451",NA,NA
"Otu00452",NA,NA
"Otu00453",NA,NA
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456",NA,NA
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00459",NA,NA
"Otu00460",NA,NA
"Otu00461",NA,NA
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00464",NA,NA
"Otu00465",NA,NA
"Otu00466",NA,NA
"Otu00467",NA,NA
"Otu00468",NA,NA
"Otu00469",NA,NA
"Otu00470",NA,NA
"Otu00471",NA,NA
"Otu00472",NA,NA
"Otu00473","Parvularcula","oceani"
"Otu00474",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00477",NA,NA
"Otu00478",NA,NA
"Otu00479",NA,NA
"Otu00480",NA,NA
"Otu00481",NA,NA
"Otu00482",NA,NA
"Otu00483",NA,NA
"Otu00484",NA,NA
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488",NA,NA
"Otu00489",NA,NA
"Otu00490",NA,NA
"Otu00491",NA,NA
"Otu00492",NA,NA
"Otu00493",NA,NA
"Otu00494",NA,NA
"Otu00495","Croceibacter","atlanticus"
"Otu00496",NA,NA
"Otu00497",NA,NA
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00501",NA,NA
"Otu00502",NA,NA
"Otu00503",NA,NA
"Otu00504",NA,NA
"Otu00505",NA,NA
"Otu00506",NA,NA
"Otu00507",NA,NA
"Otu00508",NA,NA
"Otu00509","Pseudomonas","aeruginosa/alcaliphila/composti/fluorescens/mendocina/oleovorans/pseudoalcaligenes/putida/stutzeri/taeanensis"
"Otu00510",NA,NA
"Otu00511",NA,NA
"Otu00512",NA,NA
"Otu00513",NA,NA
"Otu00514",NA,NA
"Otu00515",NA,NA
"Otu00516",NA,NA
"Otu00517",NA,NA
"Otu00518",NA,NA
"Otu00519",NA,NA
"Otu00520",NA,NA
"Otu00521",NA,NA
"Otu00522",NA,NA
"Otu00523","Ramlibacter","ginsenosidimutans"
"Otu00526",NA,NA
"Otu00528",NA,NA
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,NA
"Otu00532",NA,NA
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00536",NA,NA
"Otu00537","Bacillus","aeris/boroniphilus/cohnii/jeotgali/selenatarsenatis/stamsii/subterraneus/thioparans"
"Otu00538",NA,NA
"Otu00539",NA,NA
"Otu00540","Cobetia","amphilecti/litoralis/marina/pacifica"
"Otu00541",NA,NA
"Otu00542",NA,NA
"Otu00543",NA,NA
"Otu00544",NA,NA
"Otu00545","Salegentibacter","mishustinae/salarius/salinarum"
"Otu00546",NA,NA
"Otu00547",NA,NA
"Otu00548",NA,NA
"Otu00549",NA,NA
"Otu00550",NA,NA
"Otu00551",NA,NA
"Otu00552",NA,NA
"Otu00553",NA,NA
"Otu00554",NA,NA
"Otu00555",NA,NA
"Otu00556",NA,NA
"Otu00557",NA,NA
"Otu00558",NA,NA
"Otu00559",NA,NA
"Otu00560",NA,NA
"Otu00561",NA,NA
"Otu00562",NA,NA
"Otu00563","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu00564",NA,NA
"Otu00565",NA,NA
"Otu00566","Ekhidna","lutea"
"Otu00567",NA,NA
"Otu00568",NA,NA
"Otu00569",NA,NA
"Otu00570","Altererythrobacter","rigui/troitsensis"
"Otu00571",NA,NA
"Otu00572",NA,NA
"Otu00573",NA,NA
"Otu00574",NA,NA
"Otu00575",NA,NA
"Otu00576",NA,NA
"Otu00577",NA,NA
"Otu00578","Kiloniella","litopenaei"
"Otu00579",NA,NA
"Otu00580",NA,NA
"Otu00581",NA,NA
"Otu00582",NA,NA
"Otu00583",NA,NA
"Otu00584",NA,NA
"Otu00586","Acidovorax","defluvii/temperans"
"Otu00587",NA,NA
"Otu00588",NA,NA
"Otu00589",NA,NA
"Otu00590",NA,NA
"Otu00592",NA,NA
"Otu00593",NA,NA
"Otu00594",NA,NA
"Otu00595",NA,NA
"Otu00596",NA,NA
"Otu00597","Acinetobacter","baumannii/beijerinckii/bereziniae/calcoaceticus/courvalinii/gerneri/guillouiae/gyllenbergii/indicus/johnsonii/junii/lwoffii/modestus/parvus/plantarum/proteolyticus/vivianii"
"Otu00598",NA,NA
"Otu00599",NA,NA
"Otu00600",NA,NA
"Otu00601",NA,NA
"Otu00602",NA,NA
"Otu00603",NA,NA
"Otu00604",NA,NA
"Otu00605",NA,NA
"Otu00606",NA,NA
"Otu00607",NA,NA
"Otu00608",NA,NA
"Otu00609",NA,NA
"Otu00610",NA,NA
"Otu00611",NA,NA
"Otu00612",NA,NA
"Otu00613",NA,NA
"Otu00614",NA,NA
"Otu00615","Romboutsia","sedimentorum"
"Otu00616",NA,NA
"Otu00617",NA,NA
"Otu00618",NA,NA
"Otu00620",NA,NA
"Otu00621",NA,NA
"Otu00622",NA,"aggregatum/daejeonense/ipomoeae/rosettiformans/vitis"
"Otu00623",NA,NA
"Otu00624",NA,NA
"Otu00625",NA,NA
"Otu00626",NA,NA
"Otu00627","Halobacteriovorax","marinus"
"Otu00628",NA,NA
"Otu00629","Microbulbifer","agarilyticus/celer/chitinilyticus/elongatus/maritimus/rhizosphaerae/taiwanensis/variabilis"
"Otu00630",NA,NA
"Otu00631",NA,NA
"Otu00632",NA,NA
"Otu00633",NA,NA
"Otu00634",NA,NA
"Otu00635",NA,NA
"Otu00636",NA,NA
"Otu00637",NA,NA
"Otu00639",NA,NA
"Otu00640",NA,NA
"Otu00641",NA,NA
"Otu00642",NA,NA
"Otu00643",NA,NA
"Otu00644",NA,NA
"Otu00645",NA,NA
"Otu00646",NA,NA
"Otu00647",NA,NA
"Otu00648",NA,NA
"Otu00649",NA,NA
"Otu00650",NA,NA
"Otu00651",NA,NA
"Otu00652",NA,NA
"Otu00653",NA,NA
"Otu00654",NA,NA
"Otu00655",NA,NA
"Otu00656",NA,NA
"Otu00657",NA,NA
"Otu00658",NA,NA
"Otu00659","Solirubrobacter","ginsenosidimutans/soli"
"Otu00661",NA,NA
"Otu00662",NA,NA
"Otu00663",NA,NA
"Otu00664",NA,NA
"Otu00665",NA,NA
"Otu00666",NA,NA
"Otu00667",NA,NA
"Otu00668",NA,NA
"Otu00669",NA,NA
"Otu00670",NA,NA
"Otu00671",NA,NA
"Otu00672","Marinobacter","adhaerens/confluentis/salinaria/salsuginis"
"Otu00673",NA,NA
"Otu00674",NA,NA
"Otu00675",NA,NA
"Otu00677",NA,NA
"Otu00678",NA,NA
"Otu00679",NA,NA
"Otu00680",NA,NA
"Otu00681",NA,NA
"Otu00682",NA,NA
"Otu00683",NA,NA
"Otu00684",NA,NA
"Otu00685",NA,NA
"Otu00686",NA,NA
"Otu00687",NA,NA
"Otu00688","Mycobacterium","barrassiae/brisbanense/chlorophenolicum/chubuense/crocinum/elephantis/fortuitum/moriokaense/pallens/poriferae/psychrotolerans/pulveris/rufum/sphagni"
"Otu00689",NA,NA
"Otu00690",NA,NA
"Otu00691",NA,NA
"Otu00692",NA,NA
"Otu00693",NA,NA
"Otu00694",NA,NA
"Otu00695",NA,NA
"Otu00696","Bacillus","algicola"
"Otu00697",NA,NA
"Otu00699",NA,NA
"Otu00700",NA,NA
"Otu00701",NA,NA
"Otu00702",NA,NA
"Otu00703","Gramella","marina/portivictoriae"
"Otu00704",NA,NA
"Otu00705",NA,NA
"Otu00706",NA,NA
"Otu00707",NA,NA
"Otu00709",NA,NA
"Otu00710",NA,NA
"Otu00711",NA,NA
"Otu00712",NA,NA
"Otu00713",NA,NA
"Otu00714",NA,NA
"Otu00715",NA,NA
"Otu00716",NA,NA
"Otu00717",NA,NA
"Otu00718",NA,NA
"Otu00719",NA,NA
"Otu00720","Chromohalobacter","canadensis/israelensis/marismortui/salexigens/thailandensis"
"Otu00721",NA,NA
"Otu00722",NA,NA
"Otu00723",NA,NA
"Otu00724","Muricauda","antarctica/aquimarina/beolgyonensis/lutimaris/taeanensis/zhangzhouensis"
"Otu00725",NA,NA
"Otu00727",NA,NA
"Otu00728",NA,NA
"Otu00729",NA,NA
"Otu00730",NA,NA
"Otu00731",NA,NA
"Otu00732",NA,NA
"Otu00733",NA,NA
"Otu00734",NA,NA
"Otu00735",NA,NA
"Otu00736",NA,NA
"Otu00737",NA,NA
"Otu00738",NA,NA
"Otu00739",NA,NA
"Otu00740",NA,NA
"Otu00741",NA,NA
"Otu00742",NA,NA
"Otu00743",NA,NA
"Otu00744",NA,NA
"Otu00745",NA,NA
"Otu00746",NA,NA
"Otu00747",NA,NA
"Otu00748",NA,NA
"Otu00749",NA,NA
"Otu00750",NA,NA
"Otu00751",NA,NA
"Otu00752",NA,NA
"Otu00753",NA,NA
"Otu00754",NA,NA
"Otu00755",NA,NA
"Otu00756",NA,NA
"Otu00757",NA,NA
"Otu00758",NA,NA
"Otu00759",NA,NA
"Otu00760",NA,NA
"Otu00761","Tetragenococcus","halophilus"
"Otu00762",NA,NA
"Otu00764",NA,NA
"Otu00765",NA,NA
"Otu00766",NA,NA
"Otu00767",NA,NA
"Otu00768",NA,NA
"Otu00769","Actinoplanes","abujensis/bogorensis/brasiliensis/ferrugineus/yunnanensis"
"Otu00770",NA,NA
"Otu00771",NA,NA
"Otu00772",NA,NA
"Otu00773",NA,NA
"Otu00774",NA,NA
"Otu00775",NA,NA
"Otu00776",NA,NA
"Otu00777",NA,NA
"Otu00778",NA,NA
"Otu00779","Massilia","aurea/brevitalea/cf./namucuonensis/timonae"
"Otu00780",NA,NA
"Otu00781",NA,NA
"Otu00782",NA,NA
"Otu00783",NA,NA
"Otu00784",NA,NA
"Otu00785",NA,NA
"Otu00786",NA,NA
"Otu00787",NA,NA
"Otu00788",NA,NA
"Otu00789",NA,NA
"Otu00790",NA,NA
"Otu00791",NA,NA
"Otu00792",NA,NA
"Otu00793",NA,NA
"Otu00794",NA,NA
"Otu00795",NA,NA
"Otu00796",NA,NA
"Otu00797",NA,NA
"Otu00798",NA,NA
"Otu00799",NA,NA
"Otu00800",NA,NA
"Otu00801",NA,NA
"Otu00802",NA,NA
"Otu00803","Mesorhizobium","caraganae/ciceri/delmotii/gobiense/loti/mediterraneum/metallidurans/muleiense/prunaredense/robiniae/tamadayense/tarimense/temperatum/tianshanense"
"Otu00804",NA,NA
"Otu00805",NA,NA
"Otu00806",NA,NA
"Otu00807",NA,NA
"Otu00808",NA,NA
"Otu00809","Taeseokella","kangwonensis"
"Otu00810",NA,NA
"Otu00811",NA,NA
"Otu00812",NA,NA
"Otu00813",NA,NA
"Otu00814",NA,NA
"Otu00815",NA,NA
"Otu00816",NA,NA
"Otu00817",NA,NA
"Otu00818",NA,NA
"Otu00819",NA,NA
"Otu00821",NA,NA
"Otu00822",NA,NA
"Otu00823",NA,NA
"Otu00824",NA,NA
"Otu00825",NA,NA
"Otu00826",NA,NA
"Otu00827",NA,NA
"Otu00828",NA,NA
"Otu00829",NA,NA
"Otu00830",NA,NA
"Otu00831",NA,NA
"Otu00832",NA,NA
"Otu00833",NA,NA
"Otu00834",NA,NA
"Otu00835",NA,NA
"Otu00836",NA,NA
"Otu00837",NA,NA
"Otu00838",NA,NA
"Otu00839",NA,NA
"Otu00840",NA,NA
"Otu00841",NA,NA
"Otu00842",NA,NA
"Otu00843",NA,NA
"Otu00844",NA,NA
"Otu00845",NA,NA
"Otu00846",NA,NA
"Otu00847",NA,NA
"Otu00848",NA,NA
"Otu00849",NA,NA
"Otu00850",NA,NA
"Otu00851",NA,NA
"Otu00852",NA,NA
"Otu00853",NA,NA
"Otu00854",NA,NA
"Otu00855",NA,NA
"Otu00856",NA,NA
"Otu00857",NA,NA
"Otu00858",NA,NA
"Otu00860",NA,NA
"Otu00861",NA,NA
"Otu00862","Paracoccus","carotinifaciens/gahaiensis/haeundaensis/marcusii"
"Otu00863",NA,NA
"Otu00864",NA,NA
"Otu00865",NA,NA
"Otu00866",NA,NA
"Otu00867",NA,NA
"Otu00868",NA,NA
"Otu00869",NA,NA
"Otu00870",NA,NA
"Otu00871",NA,NA
"Otu00872",NA,NA
"Otu00873",NA,NA
"Otu00874",NA,NA
"Otu00875",NA,NA
"Otu00876",NA,NA
"Otu00877",NA,NA
"Otu00878",NA,NA
"Otu00879",NA,NA
"Otu00881","Porphyrobacter","tepidarius"
"Otu00882",NA,NA
"Otu00883",NA,NA
"Otu00885",NA,NA
"Otu00886",NA,NA
"Otu00887",NA,NA
"Otu00888",NA,NA
"Otu00889",NA,NA
"Otu00890",NA,NA
"Otu00891",NA,NA
"Otu00892",NA,NA
